Title,Year,Genre,Synopsis,IMDb id
The Cousin,NA,Drama,A comedy about a family man and his foreign worker who is facing unbased accusations.,7157668
Making Of,NA,Drama,Add a Plot,15675222
Take Mama,NA,Drama,Add a Plot,2362082
The Italians Are Coming,NA,"Drama, Romance, Sport","An Italian water-polo team arrives at Givat Hashlosha Kibbutz for training camp. Amos, the Kibbutz team coach, is an impressive, talented and charming man, undergoing his mid -life crisis. ...                See full summary »",0116663
The Quarry,NA,Drama,Add a Plot,0100093
Seven Days,NA,Drama,"Sigalit and Noga, diametrically opposed sisters, are forcefully reunited for their mother's SHIVA in the house Sigalit has never left and Noga never wished to return to. The sisters wish to...                See full summary »",3145552
Kobi V'Mali,NA,Drama,Add a Plot,0151234
Erich the First,NA,Drama,Add a Plot,0145766
Dead End,NA,Drama,"It is the height of summer and the reality show ""his heart's choice"" is just about to launch its third season. Zacky Reibenbach, the show's creator, knows that without a really good gimmick...                See full summary »",0833438
Shabbat Hamalka,NA,Drama,Add a Plot,0152383
Under the Same Sun,NA,"Drama, History, War","The film is set in the near future, and it looks back on how peace was made in 2013 between Israel and Palestine. It is the story of two businessmen - one Palestinian and one Israeli - who ...                See full summary »",2535162
Lady Titi Singing Blues,NA,"Comedy, Drama","Tootsie meets Raining Stones: Up-and-coming performer Worko aka Kai [Zvika Hizikias) -- a member of Israel's marginalized Ethiopian community -- is being pursued by loan sharks, so in order...                See full summary »",7662926
Ha-Muvtal Batito,NA,Comedy,Add a Plot,0143754
Apartment #5C,NA,Thriller,"It focuses especially on an Israeli couple with expired Visas, that shoplift to make a living. The story follows different people in N.Y.C. trying to make ends meet.",0300949
A Low Life Mythology,NA,"Comedy, Drama, Romance","A LOW LIFE MYTHOLOGY is a contemporary love story taking place in the heart of Europe, of two passionate young persons, whose sense of reality is too frequently mediated by a failure to 'live in the moment' and by computer screens.",2049383
Tzur Hadassim,NA,Drama,Add a Plot,0163882
Fire Birds,NA,"Comedy, Drama","An eighty-year-old man's body is found with three stab wounds to the chest and a number tattooed along his forearm. Amnon, a police detective and second generation Holocaust survivor, is ...                See full summary »",3921362
Samson & Deliah,NA,Drama,"Samson, the world's first super hero, is a man who has to adventures it all to save his tribe from sure demise.",5706256
